2025-03-22 22:14:34,-16.9,59.54,1433
2025-03-22 22:16:49,-49.95,81.95,1907
2025-03-22 22:17:04,-1.09,39.39,589
2025-03-22 22:17:19,-26.64,67.08,1131
2025-03-22 22:17:34,12.32,45.87,1154
2025-03-22 22:17:49,-45.91,74.2,365
2025-03-22 22:18:04,-30.47,48.91,992
2025-03-22 22:18:19,28.58,58.62,1119
2025-03-22 22:18:34,-47.5,86.3,688
2025-03-22 22:18:49,33.12,69.91,1959
2025-03-22 22:19:04,-31.14,68.08,1809
2025-03-22 22:19:19,21.72,15.12,858
2025-03-22 22:19:34,14.92,92.37,356
2025-03-22 22:19:49,7.62,43.78,954
2025-03-22 22:20:04,-13.57,71.51,845
2025-03-22 22:20:19,-34.04,49.49,1973
2025-03-22 22:20:34,-0.11,51.26,485
2025-03-22 22:20:49,23.53,6.29,1809
2025-03-22 22:21:04,49.67,89.87,1104
2025-03-22 22:21:19,-8.45,40.72,1571
2025-03-22 22:21:34,33.75,91.99,1020
2025-03-22 22:21:49,26.61,90.54,1558
2025-03-22 22:22:04,34.71,60.25,324
2025-03-22 22:22:19,-32.53,92.17,1949
2025-03-22 22:22:34,27.47,13.84,1807
2025-03-22 22:22:49,35.42,84.89,718
2025-03-22 22:23:04,7.64,0.37,477
2025-03-22 22:23:19,25.44,35.14,376
2025-03-22 22:23:34,-2.02,69.79,955
2025-03-22 22:23:49,-37.78,35.85,1004
2025-03-22 22:24:04,17.17,91.24,911
2025-03-22 22:24:19,30.84,27.99,618
2025-03-22 22:24:34,-16.86,35.7,1856
2025-03-22 22:24:49,-44.37,40.6,1446
2025-03-22 22:25:04,-5.84,53.01,595
2025-03-22 22:25:19,10.5,70.39,1672
2025-03-22 22:25:34,6.55,42.16,1665
2025-03-22 22:25:49,-1.53,79.91,699
2025-03-22 22:26:04,44.69,27.35,713
2025-03-22 22:26:19,-13.74,20.56,999
2025-03-22 22:26:34,-31.55,86.95,378
2025-03-22 22:26:49,-45.99,78.97,801
2025-03-22 22:27:04,-40.05,92.25,1060
2025-03-22 22:27:19,0.5,12.93,1647
2025-03-22 22:27:34,-5.03,49.77,1382
2025-03-22 22:27:49,41.75,46.54,1611
2025-03-22 22:28:04,-5.67,81.83,487
2025-03-22 22:28:19,15.46,23.91,1896
2025-03-22 22:28:34,8.99,99.83,987
2025-03-22 22:28:49,-44.9,45.87,516
2025-03-22 22:29:04,-2.2,35.96,449
2025-03-22 22:29:19,30.16,20.41,793
2025-03-22 22:29:34,-22.22,6.34,734
2025-03-22 22:29:49,38.33,7.97,420
2025-03-22 22:30:04,30.32,80.62,1811
2025-03-22 22:30:19,25.71,15.17,1131
2025-03-22 22:30:34,15.31,93.65,1082
2025-03-22 22:30:49,-3.45,81.13,1593
2025-03-22 22:31:04,-15.36,91.35,1347
2025-03-22 22:31:19,-24.03,2.35,462
2025-03-22 22:31:34,-38.79,76.2,433
2025-03-22 22:31:49,-5.09,32.97,913
2025-03-22 22:32:04,28.29,21.61,1508
2025-03-22 22:32:19,-7.74,21.33,550
2025-03-22 22:32:34,-3.46,83.22,1067
2025-03-22 22:32:49,32.34,19.45,1383
2025-03-22 22:33:04,-30.03,36.28,897
2025-03-22 22:33:19,19.34,52.76,1194
2025-03-22 22:33:34,15.91,89.84,1438
2025-03-22 22:33:49,-14.45,69.63,726
2025-03-22 22:34:04,3.03,50.98,813
2025-03-22 22:34:19,-38.9,85.55,1601
2025-03-22 22:34:34,42.59,68.03,1822
2025-03-22 22:34:49,-44.95,57.64,1744
2025-03-22 22:35:04,-12.4,29.02,489
